# Columns: f [Hz], ASD.
# Reference: https://github.com/jroulet/template_bank
1.000000000000000000e+01 inf
1.004620421346812620e+01 inf
1.009262190987047347e+01 inf
1.013925407558815373e+01 inf
1.018610170155975858e+01 inf
1.023316578330244830e+01 inf
1.028044732093309221e+01 inf
1.032794731918951392e+01 inf
1.037566678745185911e+01 inf
1.042360673976401664e+01 inf
1.047176819485520305e+01 inf
1.052015217616158615e+01 inf
1.056875971184804008e+01 inf
1.061759183483000157e+01 inf
1.066664958279539377e+01 inf
1.071593399822671167e+01 inf
1.076544612842315374e+01 inf
1.081518702552288147e+01 inf
1.086515774652538369e+01 inf
1.091535935331391549e+01 inf
1.096579291267809886e+01 inf
1.101645949633656407e+01 inf
1.106736018095973328e+01 inf
1.111849604819271065e+01 inf
1.116986818467823106e+01 inf
1.122147768207980256e+01 inf
1.127332563710486468e+01 inf
1.132541315152811556e+01 inf
1.137774133221491368e+01 inf
1.143031129114479150e+01 inf
1.148312414543511117e+01 inf
1.153618101736477897e+01 inf
1.158948303439810701e+01 inf
1.164303132920876749e+01 inf
1.169682703970385340e+01 inf
1.175087130904807609e+01 inf
1.180516528568804979e+01 inf
1.185971012337669350e+01 inf
1.191450698119776064e+01 inf
1.196955702359043450e+01 inf
1.202486142037412264e+01 inf
1.208042134677328328e+01 inf
1.213623798344240612e+01 inf
1.219231251649110703e+01 inf
1.224864613750931319e+01 inf
1.230524004359261525e+01 inf
1.236209543736768524e+01 inf
1.241921352701784009e+01 inf
1.247659552630869761e+01 inf
1.253424265461400111e+01 inf
1.259215613694150981e+01 inf
1.265033720395903138e+01 inf
1.270878709202058943e+01 inf
1.276750704319265672e+01 inf
1.282649830528060519e+01 inf
1.288576213185518071e+01 inf
1.294529978227915379e+01 inf
1.300511252173409282e+01 inf
1.306520162124721196e+01 inf
1.312556835771843389e+01 inf
1.318621401394748460e+01 inf
1.324713987866116760e+01 inf
1.330834724654075352e+01 inf
1.336983741824946570e+01 inf
1.343161170046015940e+01 inf
1.349367140588306491e+01 inf
1.355601785329368170e+01 inf
1.361865236756081998e+01 inf
1.368157627967471868e+01 inf
1.374479092677537295e+01 inf
1.380829765218092398e+01 inf
1.387209780541620319e+01 inf
1.393619274224142757e+01 inf
1.400058382468097484e+01 inf
1.406527242105237185e+01 inf
1.413025990599533621e+01 inf
1.419554766050101513e+01 inf
1.426113707194128999e+01 inf
1.432702953409831004e+01 inf
1.439322644719407229e+01 inf
1.445972921792019505e+01 inf
1.452653925946781222e+01 inf
1.459365799155756882e+01 inf
1.466108684046984401e+01 inf
1.472882723907502545e+01 inf
1.479688062686396322e+01 inf
1.486524844997857109e+01 inf
1.493393216124252554e+01 inf
1.500293322019218323e+01 9.736645737813457060e-22
1.507225309310756245e+01 9.345905296100696846e-22
1.514189325304351996e+01 1.022894833651501117e-21
1.521185517986104863e+01 8.906007769239635325e-22
1.528214036025870115e+01 8.763327968975609995e-22
